Country,Year,FreedomScore,Continent
Afghanistan,1900,0.074,Asia
Afghanistan,1901,0.074,Asia
Afghanistan,1902,0.084,Asia
Afghanistan,1903,0.084,Asia
Afghanistan,1904,0.084,Asia
Afghanistan,1905,0.084,Asia
117,Afghanistan,1906,0.084,Asia
118,Afghanistan,1907,0.084,Asia
119,Afghanistan,1908,0.084,Asia
120,Afghanistan,1909,0.084,Asia
121,Afghanistan,1910,0.105,Asia
122,Afghanistan,1911,0.105,Asia
123,Afghanistan,1912,0.105,Asia
124,Afghanistan,1913,0.105,Asia
125,Afghanistan,1914,0.105,Asia
126,Afghanistan,1915,0.105,Asia
127,Afghanistan,1916,0.105,Asia
128,Afghanistan,1917,0.105,Asia
129,Afghanistan,1918,0.105,Asia
130,Afghanistan,1919,0.125,Asia
131,Afghanistan,1920,0.135,Asia
132,Afghanistan,1921,0.161,Asia
133,Afghanistan,1922,0.161,Asia
134,Afghanistan,1923,0.157,Asia
135,Afghanistan,1924,0.262,Asia
136,Afghanistan,1925,0.262,Asia
137,Afghanistan,1926,0.262,Asia
138,Afghanistan,1927,0.262,Asia
139,Afghanistan,1928,0.262,Asia
140,Afghanistan,1929,0.211,Asia
141,Afghanistan,1930,0.201,Asia
142,Afghanistan,1931,0.203,Asia
143,Afghanistan,1932,0.203,Asia
144,Afghanistan,1933,0.203,Asia
145,Afghanistan,1934,0.212,Asia
146,Afghanistan,1935,0.212,Asia
147,Afghanistan,1936,0.212,Asia
148,Afghanistan,1937,0.212,Asia
149,Afghanistan,1938,0.219,Asia
150,Afghanistan,1939,0.219,Asia
151,Afghanistan,1940,0.216,Asia
152,Afghanistan,1941,0.216,Asia
153,Afghanistan,1942,0.216,Asia
154,Afghanistan,1943,0.216,Asia
155,Afghanistan,1944,0.216,Asia
156,Afghanistan,1945,0.216,Asia
157,Afghanistan,1946,0.216,Asia
158,Afghanistan,1947,0.218,Asia
159,Afghanistan,1948,0.218,Asia
160,Afghanistan,1949,0.218,Asia
161,Afghanistan,1950,0.218,Asia
162,Afghanistan,1951,0.218,Asia
163,Afghanistan,1952,0.223,Asia
164,Afghanistan,1953,0.207,Asia
165,Afghanistan,1954,0.151,Asia
166,Afghanistan,1955,0.155,Asia
167,Afghanistan,1956,0.155,Asia
168,Afghanistan,1957,0.155,Asia
169,Afghanistan,1958,0.155,Asia
170,Afghanistan,1959,0.155,Asia
171,Afghanistan,1960,0.165,Asia
172,Afghanistan,1961,0.17,Asia
173,Afghanistan,1962,0.17,Asia
174,Afghanistan,1963,0.175,Asia
175,Afghanistan,1964,0.256,Asia
176,Afghanistan,1965,0.287,Asia
177,Afghanistan,1966,0.299,Asia
178,Afghanistan,1967,0.299,Asia
179,Afghanistan,1968,0.299,Asia
180,Afghanistan,1969,0.299,Asia
181,Afghanistan,1970,0.304,Asia
182,Afghanistan,1971,0.304,Asia
183,Afghanistan,1972,0.287,Asia
184,Afghanistan,1973,0.253,Asia
185,Afghanistan,1974,0.155,Asia
186,Afghanistan,1975,0.162,Asia
187,Afghanistan,1976,0.162,Asia
188,Afghanistan,1977,0.165,Asia
189,Afghanistan,1978,0.097,Asia
190,Afghanistan,1979,0.098,Asia
191,Afghanistan,1980,0.102,Asia
192,Afghanistan,1981,0.106,Asia
193,Afghanistan,1982,0.102,Asia
194,Afghanistan,1983,0.106,Asia
195,Afghanistan,1984,0.106,Asia
196,Afghanistan,1985,0.106,Asia
197,Afghanistan,1986,0.106,Asia
198,Afghanistan,1987,0.108,Asia
199,Afghanistan,1988,0.106,Asia
200,Afghanistan,1989,0.106,Asia
201,Afghanistan,1990,0.098,Asia
202,Afghanistan,1991,0.094,Asia
203,Afghanistan,1992,0.09,Asia
204,Afghanistan,1993,0.079,Asia
205,Afghanistan,1994,0.079,Asia
206,Afghanistan,1995,0.079,Asia
207,Afghanistan,1996,0.041,Asia
208,Afghanistan,1997,0.038,Asia
209,Afghanistan,1998,0.038,Asia
210,Afghanistan,1999,0.038,Asia
211,Afghanistan,2000,0.038,Asia
212,Afghanistan,2001,0.082,Asia
213,Afghanistan,2002,0.618,Asia
214,Afghanistan,2003,0.673,Asia
215,Afghanistan,2004,0.667,Asia
216,Afghanistan,2005,0.684,Asia
217,Afghanistan,2006,0.687,Asia
218,Afghanistan,2007,0.685,Asia
219,Afghanistan,2008,0.716,Asia
220,Afghanistan,2009,0.718,Asia
221,Afghanistan,2010,0.723,Asia
222,Afghanistan,2011,0.723,Asia
223,Afghanistan,2012,0.722,Asia
224,Afghanistan,2013,0.712,Asia
225,Afghanistan,2014,0.697,Asia
226,Afghanistan,2015,0.693,Asia
227,Afghanistan,2016,0.651,Asia
228,Afghanistan,2017,0.687,Asia
229,Afghanistan,2018,0.691,Asia
230,Afghanistan,2019,0.685,Asia
231,Afghanistan,2020,0.707,Asia
232,Afghanistan,2021,0.146,Asia
233,Afghanistan,2022,0.071,Asia
234,Afghanistan,2023,0.052,Asia
235,Afghanistan,2024,0.09,Asia
3384,Botswana,1900,0.151,Africa
3385,Botswana,1901,0.151,Africa
3386,Botswana,1902,0.151,Africa
3387,Botswana,1903,0.151,Africa
3388,Botswana,1904,0.151,Africa
3389,Botswana,1905,0.151,Africa
3390,Botswana,1906,0.151,Africa
3391,Botswana,1907,0.151,Africa
3392,Botswana,1908,0.151,Africa
3393,Botswana,1909,0.151,Africa
3394,Botswana,1910,0.151,Africa
3395,Botswana,1911,0.151,Africa
3396,Botswana,1912,0.151,Africa
3397,Botswana,1913,0.151,Africa
3398,Botswana,1914,0.151,Africa
3399,Botswana,1915,0.15,Africa
3400,Botswana,1916,0.15,Africa
3401,Botswana,1917,0.15,Africa
3402,Botswana,1918,0.15,Africa
3403,Botswana,1919,0.15,Africa
3404,Botswana,1920,0.151,Africa
3405,Botswana,1921,0.151,Africa
3406,Botswana,1922,0.151,Africa
3407,Botswana,1923,0.151,Africa
3408,Botswana,1924,0.151,Africa
3409,Botswana,1925,0.151,Africa
3410,Botswana,1926,0.151,Africa
3411,Botswana,1927,0.151,Africa
3412,Botswana,1928,0.151,Africa
3413,Botswana,1929,0.151,Africa
3414,Botswana,1930,0.151,Africa
3415,Botswana,1931,0.151,Africa
3416,Botswana,1932,0.151,Africa
3417,Botswana,1933,0.145,Africa
3418,Botswana,1934,0.145,Africa
3419,Botswana,1935,0.145,Africa
3420,Botswana,1936,0.145,Africa
3421,Botswana,1937,0.145,Africa
3422,Botswana,1938,0.145,Africa
3423,Botswana,1939,0.142,Africa
3424,Botswana,1940,0.142,Africa
3425,Botswana,1941,0.142,Africa
3426,Botswana,1942,0.142,Africa
3427,Botswana,1943,0.133,Africa
3428,Botswana,1944,0.133,Africa
3429,Botswana,1945,0.133,Africa
3430,Botswana,1946,0.14,Africa
3431,Botswana,1947,0.14,Africa
3432,Botswana,1948,0.14,Africa
3433,Botswana,1949,0.154,Africa
3434,Botswana,1950,0.154,Africa
3435,Botswana,1951,0.154,Africa
3436,Botswana,1952,0.154,Africa
3437,Botswana,1953,0.154,Africa
3438,Botswana,1954,0.154,Africa
3439,Botswana,1955,0.154,Africa
3440,Botswana,1956,0.152,Africa
3441,Botswana,1957,0.152,Africa
3442,Botswana,1958,0.152,Africa
3443,Botswana,1959,0.152,Africa
3444,Botswana,1960,0.169,Africa
3445,Botswana,1961,0.169,Africa
3446,Botswana,1962,0.206,Africa
3447,Botswana,1963,0.206,Africa
3448,Botswana,1964,0.206,Africa
3449,Botswana,1965,0.206,Africa
3450,Botswana,1966,0.736,Africa
3451,Botswana,1967,0.745,Africa
3452,Botswana,1968,0.745,Africa
3453,Botswana,1969,0.745,Africa
3454,Botswana,1970,0.745,Africa
3455,Botswana,1971,0.745,Africa
